imdb_name_id,name,birth_name,height,bio,birth_details,date_of_birth,place_of_birth,death_details,date_of_death,place_of_death,reason_of_death,spouses_string,spouses,divorces,spouses_with_children,children
nm0733482,Miss Robson,Miss Robson,,Miss Robson is an actress- known for Cleopatra (1912).,,,,,,,,,0,0,0,0
nm0309130,Charles L. Gaskill,Charles Leslie Gaskill,,Charles L. Gaskill was born on January 29- 1870 in New Bern- North Carolina- USA as Charles Leslie Gaskill. He was a writer and director- known for The Strange Story of Sylvia Gray (1914)- A Sister to Carmen (1913) and A Princess of Bagdad (1913). He was married to Virginia Archer Waldrop-Gaskill and Helen Gardner. He died on December 9- 1943 in Los Angeles- California- USA.,January 29- 1870 in¶ÿNew Bern- North Carolina- USA,1870-01-29,New Bern- North Carolina- USA,December 9- 1943 in¶ÿLos Angeles- California- USA ¶ÿ(heart attack),09/12/1943,Los Angeles- California- USA ¶ÿ,heart attack,"Helen Gardner  (? - ?)
Virginia Archer Waldrop-Gaskill  (? - ?)¶ÿ(3 children)",2,0,1,3
nm0765026,Victorien Sardou,Victorien Sardou,,French playwright of both comedies and historical dramas and master of stage technique. He wrote 70 plays- including Tosca (1887)- FÇ¸dora (1882) and others for Sarah Bernhardt and two plays for Sir Henry Irving.,September 5- 1831 in¶ÿParis- France,1831-09-05,Paris- France,November 8- 1908 in¶ÿParis- France ¶ÿ(pulmonary congestion),08/11/1908,Paris- France ¶ÿ,pulmonary congestion,"Marie Anne Corneille SouliÇ¸  (1872 - 8 November¶ÿ1908)¶ÿ(his death)¶ÿ(2 children)
Laurentine Ç?lÇ¸onore DÇ¸sirÇ¸e de Moisson de BrÇ¸court  (1858 - 1867)¶ÿ(her death)",2,0,1,2
nm0182557,Helene Costello,Helen Costello,157,Some of Helene Costello's films available on video are Her Crowning Glory (1911)- Lulu's Doctor (1912) and Lights of New York (1928)- the first all-talking feature. She worked for a time as a reader for 20th Century Fox in the early 1940s. Miss Costello died on January 26- 1957- in California's Patton State Hospital. She left behind a daughter Deirdre by her fourth husband. Deirdre now resides in Winston Salem- NC,June 21- 1906 inÂ New York City- New York- USA,21/06/1906,New York City- New York- USA,January 26- 1957 inÂ Los Angeles- California- USA Â (pneumonia and tuberculosis),26/01/1957,Los Angeles- California- USA Â ,pneumonia and tuberculosis,"George (""Lee"") Le Blanc  (14 AugustÂ 1940 - 1948)Â (divorced)Â (1 child)
Arturo Del Barrio  (3 JanuaryÂ 1933 - 1939)Â (divorced)
Lowell Sherman  (March 1930 - 1932)Â (divorced)
John W. Regan  (27 SeptemberÂ 1927 - 1928)Â (divorced)",4,4,1,1
nm1950505,Charles Sindelar,Charles Sindelar,,Charles Sindelar was born on May 27- 1876 in Ohio- USA. He was an actor- known for Cleopatra (1912). He died on May 15- 1947 in Los Angeles- California- USA.,May 27- 1876 inÂ Ohio- USA,1876-05-27,Ohio- USA,May 15- 1947 inÂ Los Angeles- California- USA,15/05/1947,Los Angeles- California- USA,,,0,0,0,0
nm0397513,Mr. Howard,Mr. Howard,,Mr. Howard is an actor- known for Cleopatra (1912) and A Daughter of Pan (1913).,,,,,,,,,0,0,0,0
nm0906610,James R. Waite,James R. Waite,,James R. Waite was born on June 22- 1845 in New York City- New York- USA. He was an actor- known for Cleopatra (1912)- None But the Brave Deserve the Fair (1912) and On the Pupil of His Eye (1912). He was married to Virginia Dormer. He died on November 9- 1913 in New York City.,June 22- 1845 inÂ New York City- New York- USA,1845-06-22,New York City- New York- USA,November 9- 1913 inÂ New York City- New York- USA,09/11/1913,New York City- New York- USA,,Virginia Dormer  (? - 9 NovemberÂ 1913)Â (his death)Â (1 child),1,0,1,1
nm0660139,Salvatore Papa,Salvatore Papa,,Salvatore Papa is an actor and director- known for L'Inferno (1911)- Sotto il bacio del fuoco (1915) and Promozione per... meriti personali (1914).,,,,,,,,,0,0,0,0
nm0685283,Arturo Pirovano,Arturo Pirovano,,Arturo Pirovano is an actor- known for L'Inferno (1911)- Marin Faliero doge di Venezia (1909) and Il duca di Arles (1910).,,,,,,,,,0,0,0,0
nm0209738,Giuseppe de Liguoro,Giuseppe Dei Conti de Liguoro Presicce,,Giuseppe de Liguoro was born on January 10- 1869 in Naples- Campania- Italy as Giuseppe Dei Conti de Liguoro Presicce. He was a director and actor- known for L'Inferno (1911)- Il conte Ugolino (1908) and L'Odissea (1911). He died on March 19- 1944 in Rome- Lazio- Italy.,January 10- 1869 inÂ Naples- Campania- Italy,1869-01-10,Naples- Campania- Italy,March 19- 1944 inÂ Rome- Lazio- Italy,19/03/1944,Rome- Lazio- Italy,,,0,0,0,0
nm3942815,Pier Delle Vigne,Pier Delle Vigne,,Pier Delle Vigne is an actor- known for L'Inferno (1911).,,,,,,,,,0,0,0,0
nm0078205,Francesco Bertolini,Francesco Bertolini,,,,,,,,,,,0,0,0,0
nm0655824,Adolfo Padovan,Adolfo Padovan,,Adolfo Padovan was born in Northern Italy and grew up city of Varese at the feet of Sacro Monte di Varese- part of the Campo dei Fiori mountain range- that hosts an astronomical observatory.On completing high school he settled in Milan where he went on to study astronomy- although he chose to abandon this in favour of a literary and philosophical career. Here in Milan he also briefly collaborated in making films with Milano Films- an early Italian silent film company which was active from 1909 to 1926. From this collaboration he is best known for co-directing L'Inferno and L'Odissea- both in 1911- with Francesco Bertolini and Giuseppe De Liguoro.He returned to his writing of literary and philosophical essays and died in July 1930.,,,,,,,,,0,0,0,0
nm0019604,Dante Alighieri,Durante Degli Alighieri,,"Dante Alighieri was born in 1265 into the lower nobility of Florence- to Alighiero di Bellincione d'Alighiero- a moneylender. A precocious student- Dante's education focused on rhetoric and grammar. He also became enamored with a young girl- Beatrice Portinari- whose death in 1290 threw a grieving Dante into intense religious studies. Though the Alighieri family had managed to avoid entanglement in the power struggles between the Ghibelline and Guelf families for control of Florence- Dante allied himself with the democratic Guelfs and married a member of that clan- Gemma di Manetto Donati- in 1285.After serving in the Guelf forces as a cavalryman in the Battle of Campaldino- Dante enrolled in the Guild of Doctors and Pharmacists and became politically active. He became an ambassador and a prior- but after finding himself on the opposite side of the political party in power he was forced to flee Florence in 1301- never able to return to the city of his birth. He narrowly escaped being executed for treason.Dante left for Verona and Ravenna- where he was joined by his children. He then wrote his most famous work- ""Commedia""- not in scholarly Latin but in the vernacular Italian of the time- giving his countrymen a literature of their own. In it he would resurrect the love of his youth- Beatrice- giving her a place among the angels. This work would also take the author- escorted by the Roman poet Publius Vergilius Maro- on a grand tour to Hell and Purgatory- and later by his beloved Beatrice to Paradise. History would later judge Dante's creation to be divine. Dante Alighieri died in 1321 and was buried in Ravenna. Three sons--Pietro- Jacopo and Giovanni--and a daughter- Antonia- survived him.",June 1- 1265 inÂ Florence- Republic of Florence [now Tuscany- Italy],1265-06-01,Florence- Republic of Florence [now Tuscany- Italy],September 14- 1321 inÂ Ravenna- Papal State [now Emilia-Romagna- Italy] Â (malaria),1321-09-14,Ravenna- Papal State [now Emilia-Romagna- Italy] Â ,malaria,Gemma di Manetto Donati  (1285 - 14 SeptemberÂ 1321)Â (his death)Â (4 children),1,0,1,4
nm1374692,Raffaele Caravaglios,Raffaele Caravaglios,,,,,,,,,,,0,0,0,0
nm1376296,Emilio Roncarolo,Emilio Roncarolo,,,,,,,,,,,0,0,0,0
nm1376180,Sandro Properzi,Sandro Properzi,,,,,,,,,,,0,0,0,0
nm1376181,Will Coyne,Will Coyne,123,abc,,,,,,,,,,,,
nm1376182,Sam Crewes,,,,,,,,,,,,,,,
nm1376183,Jack Ennis,,,,,,,,,,,,,,,
nm1376184,John Forde,,,,,,,,,,,,,,,
nm1376185,Vera Linden,,,,,,,,,,,,,,,
nm1376186,Mr. Marshall,,,,,,,,,,,,,,,
nm1376187,Mr. McKenzie,,,,,,,,,,,,,,,
nm1376188,Frank Mills,,,,,,,,,,,,,,,
nm1376189,Ollie Wilson,,,,,,,,,,,,,,,
nm1376190,Mr. Osborne,,,,,,,,,,,,,,,
nm1376191,Mr. Paul,,,,,,,,,,,,,,,
nm1376192,Mr. Brady,,,,,,,,,,,,,,,
nm1376193,Mr. Corker,,,,,,,,,,,,,,,
nm1376194,Augusto Milla,,,,,,,,,,,,,,,
nm1376195,Attilio Motta,,,,,,,,,,,,,,,
nm1376196,Emilise Beretta,,,,,,,,,,,,,,,
nm1376197,Harry Knowles,,,,,,,,,,,,,,,
